"TOA5","HCHO_landfill_met","CR1000","50904","CR1000.Std.28.02","CPU:hcho-landfill-wx.cr1","3570","halfhourly"
"TIMESTAMP","RECORD","P_10m_Avg","T_10m_Avg","RH_10m_Avg","WS_10m_Avg","WD_10m_unit_Avg","WD_10m_epa_Std","T_2m_Avg","RH_2m_Avg"
"TS","RN","mbar","degC","","m/s","degTN","deg","degC",""
"","","Avg","Avg","Avg","WVc","WVc","WVc","Avg","Avg"
"2016-06-27 13:30:00",252,1015.24,34.96,17.15,1.497,118.2,85.2,34.61,18.06
"2016-06-27 14:00:00",253,1014.855,35.61,16.62,1.671,291.8,73.72,34.91,17.34
"2016-06-27 14:30:00",254,1014.648,35.65,16.09,1.429,328.5,86.7,35.14,16.81
"2016-06-27 15:00:00",255,1014.309,35.61,17.16,1.949,7.406,75.55,35.49,17.89
"2016-06-27 15:30:00",256,1014.106,35.28,17.69,2.202,325.9,29.7,35.19,18.17
"2016-06-27 16:00:00",257,1013.954,35.36,18.82,2.036,0.299,42.28,35.57,19.53
"2016-06-27 16:30:00",258,1013.779,34.78,19.04,2.437,17.09,25.56,35.34,19.55
"2016-06-27 17:00:00",259,1013.589,34.99,18.84,2.003,351.6,27.45,35.41,19.17
"2016-06-27 17:30:00",260,1013.503,34.76,19.54,1.831,338,19.24,35.04,20.05
"2016-06-27 18:00:00",261,1013.506,34.01,20.63,1.99,356.2,24.81,34.44,21.3
"2016-06-27 18:30:00",262,1013.649,33.78,20.59,1.272,324.4,16.16,34.07,21.16
"2016-06-27 19:00:00",263,1013.66,33.28,21.64,1.258,288.1,35.28,33.09,22.91
"2016-06-27 19:30:00",264,1013.714,31.85,23.4,1.228,261.2,38.26,31.5,25.26
"2016-06-27 20:00:00",265,1013.986,30.36,25.99,3.135,231.4,8.54,30.36,27.49
"2016-06-27 20:30:00",266,1014.356,29.86,26.64,3.897,235.3,5.521,30.03,28.21
"2016-06-27 21:00:00",267,1014.223,27.9,32.17,3.86,227.8,29.14,27.78,37.51
"2016-06-27 21:30:00",268,1014.481,27.44,31.79,4.463,228.8,5.285,27.41,37.12
"2016-06-27 22:00:00",269,1014.664,26.49,32.5,4.361,232.3,4.687,26.65,36.27
"2016-06-27 22:30:00",270,1014.839,26.09,32.73,3.495,208.7,21.15,25.83,37.59
"2016-06-27 23:00:00",271,1014.654,25.7,32.63,3.471,220.7,12.97,25.52,37.34
"2016-06-27 23:30:00",272,1014.872,25.77,31.52,5.431,226.2,5.493,26.2,34.01
"2016-06-28 00:00:00",273,1015.027,25.43,32.37,4.014,240,8.02,25.57,35.5
"2016-06-28 00:30:00",274,1015.055,24.62,33.28,3.184,230.4,41.93,24.6,37.29
"2016-06-28 01:00:00",275,1015.272,23.36,36.83,3.286,205.6,22.17,22.96,42.34
